type,neighborhood,address,price,geo,beds,baths,sqft,url,work_time,work_directions,work_lines,friend_time,friend_directions,friend_lines,GEO_ID,f_acre_sum,f_acre_sum_uncap,f_acre_pc,population,med_income,BoroName,arrests,arrests_pc
Rental Unit,Rego Park,97-45 63 Drive #6J,"$2,395","40.73106879,-73.85921779",1 Bed,1 Bath,,https://streeteasy.com/building/97_45-63-drive-rego_park/6j?featured=1,57.0,1: Walk west on 63rd Drive. 2: Turn right onto Queens Boulevard. 3: Turn left onto 63rd Road. 4: Continue. 5: Enter the 63 Dr - Rego Park Station. 6: Take the R toward Bay Ridge - 95 St. (23 stops) 7: Exit the City Hall Station. 8: Walk southeast on Steve Flanders Square. 9: Your destination is on the left. ,1,44.0,1: Walk west on 63rd Drive. 2: Turn right onto Queens Boulevard. 3: Turn left onto 63rd Road. 4: Continue. 5: Enter the 63 Dr - Rego Park Station. 6: Take the R toward Bay Ridge - 95 St. (9 stops) 7: Exit the 36 St Station. 8: Walk west on Northern Boulevard/NY 25A. 9: Turn right onto 39th Avenue. 10: Enter the 39 Av Station. 11: Take the N toward Astoria - Ditmars Blvd. (5 stops) 12: Exit the Astoria - Ditmars Blvd Station. 13: Walk southeast on Ditmars Boulevard. 14: Turn left onto 35th Street. 15: Your destination is on the right. ,2,1400000US36081071701,6.32,6.32,0.0013152965660770033,4805.0,58941.0,Queens,16,0.0033298647242455777
Co-op,Hudson Heights,340 Haven Avenue #2D,"$2,200","40.85110092,-73.94159698",1 Bed,1 Bath,,https://streeteasy.com/building/lafayette-gardens-340-haven-avenue-new_york/2d?featured=1,47.0,1: Walk northeast on Haven Avenue. 2: Turn right onto West 181st Street. 3: Enter the 181 St Station. 4: Take the A toward Far Rockaway - Mott Av. (11 stops) 5: Exit the Chambers St Station. 6: Walk southeast on Murray Street. 7: Bear right onto Steve Flanders Square. 8: Your destination is on the left. ,1,71.0,1: Walk northeast on Haven Avenue. 2: Turn right onto West 181st Street. 3: Enter the 181 St Station. 4: Take the 1 toward South Ferry. (15 stops) 5: Exit the 50 St Station. 6: Walk southwest on Broadway. 7: Turn left onto West 49th Street. 8: Enter the 49 St Station. 9: Take the W toward Astoria - Ditmars Blvd. (10 stops) 10: Exit the Astoria - Ditmars Blvd Station. 11: Walk southeast on Ditmars Boulevard. 12: Turn left onto 35th Street. 13: Your destination is on the right. ,2,1400000US36061026500,170.5416,170.5416,0.021449075587976357,7951.0,91004.0,Manhattan,40,0.005030813734121494
Rental Unit,Flushing,36-35 167th Street #6D,"$1,925","40.76183285,-73.79878235",1 Bed,1 Bath,925.0,https://streeteasy.com/building/36_35-167-street-flushing/6d,79.0,1: Walk north on 167th Street. 2: Take the Q28 toward FLUSHING  MAIN ST STA. (14 stops) 3: Walk west on 39th Avenue. 4: Turn left onto Pedestrian Walk. 5: Enter the Flushing - Main St Station. 6: Take the 7X toward 34 St - 11 Av. (4 stops) 7: Transfer at the Queensboro Plaza Station. 8: Take the W toward Whitehall St. (13 stops) 9: Exit the City Hall Station. 10: Walk southeast on Steve Flanders Square. 11: Your destination is on the left. ,3,65.0,1: Walk north on 167th Street. 2: Take the Q28 toward FLUSHING  MAIN ST STA. (13 stops) 3: Walk west on Northern Boulevard/NY 25A. 4: Take the Q19 toward ASTORIA 2 ST via ASTORIA BL. (12 stops) 5: Transfer to take the Q69 toward LI CITY QUEENS PLZ via DITMARS BL via 21 ST. (12 stops) 6: Walk northeast on 35th Street. 7: Your destination is on the right. ,3,1400000US36081117500,0.94,0.94,0.00019461697722567285,4830.0,62639.0,Queens,8,0.0016563146997929607
Rental Unit,Lenox Hill,167 East 77th Street #17,"$2,195","40.77350447,-73.95894577",1 Bed,1 Bath,,https://streeteasy.com/building/167-east-77-street-new_york/17,29.0,1: Walk northwest on East 77th Street. 2: Enter the 77 St Station. 3: Take the 6 toward Brooklyn Bridge - City Hall. (13 stops) 4: Exit the Brooklyn Bridge - City Hall Station. 5: Walk northwest on Chambers Street. 6: Turn left onto Centre Street. 7: Continue on Steve Flanders Square. 8: Your destination is on the right. ,1,31.0,1: Walk northwest on East 77th Street. 2: Enter the 77 St Station. 3: Take the 6 toward Brooklyn Bridge - City Hall. (2 stops) 4: Exit the 59 St Station. 5: Walk northeast on Lexington Avenue. 6: Enter the Lexington Av/59 St Station. 7: Take the N toward Astoria - Ditmars Blvd. (7 stops) 8: Exit the Astoria - Ditmars Blvd Station. 9: Walk southeast on Ditmars Boulevard. 10: Turn left onto 35th Street. 11: Your destination is on the right. ,2,1400000US36061014000,160.6979,702.9679,0.02233776758409786,7194.0,137109.0,Manhattan,5,0.0006950236308034474
Rental Unit,Bay Ridge,7025 Shore Road #1,"$1,900","40.63732751,-74.03577483",1 Bed,1 Bath,,https://streeteasy.com/building/7025-shore-road-brooklyn/1,54.0,1: Walk west on MacKay Place. 2: Take the B9 toward KINGS PLAZA via 60 ST via AVENUE M. (6 stops) 3: Enter the Bay Ridge Av Station. 4: Take the R toward Forest Hills - 71 Av. (16 stops) 5: Exit the City Hall Station. 6: Walk southeast on Steve Flanders Square. 7: Your destination is on the left. ,2,85.0,1: Walk west on MacKay Place. 2: Take the B9 toward KINGS PLAZA via 60 ST via AVENUE M. (10 stops) 3: Walk northeast on 4th Avenue. 4: Enter the 59 St Station. 5: Take the N toward Astoria - Ditmars Blvd. (19 stops) 6: Exit the Astoria - Ditmars Blvd Station. 7: Walk southeast on Ditmars Boulevard. 8: Turn left onto 35th Street. 9: Your destination is on the right. ,2,1400000US36047003400,86.4674,86.4674,0.027354444795950648,3161.0,78833.0,Brooklyn,4,0.0012654223347042075
Rental Unit,Forest Hills,103-19 68 Road #X,"$1,750","40.72553406,-73.84951718",Studio,1 Bath,400.0,https://streeteasy.com/building/103_19-68-road-forest_hills/x,64.0,1: Walk west on 68th Road. 2: Turn right onto Queens Boulevard. 3: Turn left onto 67th Road. 4: Enter the 67 Av Station. 5: Take the R toward Bay Ridge - 95 St. (24 stops) 6: Exit the City Hall Station. 7: Walk southeast on Steve Flanders Square. 8: Your destination is on the left. ,1,47.0,1: Walk west on 68th Road. 2: Turn right onto Queens Boulevard. 3: Turn left onto 67th Road. 4: Enter the 67 Av Station. 5: Take the M toward Middle Village - Metropolitan Av. (9 stops) 6: Exit the Steinway St Station. 7: Take the Q101 toward STEINWAY 19 AV via STEINWAY ST. (8 stops) 8: Walk northwest on Ditmars Boulevard. 9: Turn right onto 35th Street. 10: Your destination is on the right. ,2,1400000US36081071303,5.71,5.71,0.0010513717547413,5431.0,95045.0,Queens,14,0.0025777941447247283
Rental Unit,Upper West Side,22 West 77th Street #333,"$1,995","40.77981924,-73.97510009",Studio,1 Bath,,https://streeteasy.com/building/22-west-77-street-new_york/333,27.0,1: Walk southeast on West 77th Street/Richard Gilder Way. 2: Turn left onto Central Park West. 3: Enter the 81 St - Museum of Natural History Station. 4: Take the B toward Brighton Beach. (2 stops) 5: Transfer to take the A toward Far Rockaway - Mott Av. (6 stops) 6: Exit the Chambers St Station. 7: Walk southeast on Murray Street. 8: Bear right onto Steve Flanders Square. 9: Your destination is on the left. ,2,41.0,1: Walk southeast on West 77th Street/Richard Gilder Way. 2: Turn left onto Central Park West. 3: Enter the 81 St - Museum of Natural History Station. 4: Take the B toward Brighton Beach. (3 stops) 5: Exit the 7 Av Station. 6: Walk northeast on 7th Avenue. 7: Enter the 57 St - 7 Av Station. 8: Take the W toward Astoria - Ditmars Blvd. (9 stops) 9: Exit the Astoria - Ditmars Blvd Station. 10: Walk southeast on Ditmars Boulevard. 11: Turn left onto 35th Street. 12: Your destination is on the right. ,2,1400000US36061016100,323.0858,930.2226,0.05143859258079923,6281.0,120136.0,Manhattan,6,0.000955261900971183
Rental Unit,Upper West Side,155 West 83rd Street #100,"$2,100","40.78546793,-73.97520993",Studio,1 Bath,,https://streeteasy.com/building/the-norma/100,37.0,1: Walk southeast on West 83rd Street. 2: Turn right onto Columbus Avenue. 3: Turn left onto the walkway. 4: Turn right onto the walkway. 5: Turn left onto the walkway. 6: Enter the 81 St - Museum of Natural History Station. 7: Take the C toward Euclid Av. (11 stops) 8: Exit the Chambers St Station. 9: Walk southeast on Murray Street. 10: Bear right onto Steve Flanders Square. 11: Your destination is on the left. ,1,52.0,1: Walk northwest on West 83rd Street. 2: Turn right onto Amsterdam Avenue. 3: Turn left onto West 86th Street. 4: Enter the 86 St Station. 5: Take the 1 toward South Ferry. (6 stops) 6: Exit the Times Sq - 42 St Station. 7: Walk southeast on West 41st Street. 8: Enter the Times Sq - 42 St Station. 9: Take the N toward Astoria - Ditmars Blvd. (11 stops) 10: Exit the Astoria - Ditmars Blvd Station. 11: Walk southeast on Ditmars Boulevard. 12: Turn left onto 35th Street. 13: Your destination is on the right. ,2,1400000US36061016900,323.6058,930.7426,0.038639498507462684,8375.0,128250.0,Manhattan,13,0.0015522388059701492
Rental Unit,Forest Hills,112-41 72 Road #2H,"$2,150","40.72167671,-73.83672601",1 Bed,1 Bath,,https://streeteasy.com/building/112_41-72-road-forest_hills/2h,64.0,1: Walk southeast. 2: Turn right onto 72nd Road. 3: Turn left onto 112th Street. 4: Turn right onto 75th Avenue. 5: Turn left onto Queens Boulevard. 6: Turn right onto the walkway. 7: Enter the 75 Av Station. 8: Take the F toward Kings Hwy. (2 stops) 9: Transfer to take the R toward Bay Ridge - 95 St. (19 stops) 10: Exit the City Hall Station. 11: Walk southeast on Steve Flanders Square. 12: Your destination is on the left. ,2,52.0,1: Walk southeast. 2: Turn right onto 72nd Road. 3: Turn right onto Queens Boulevard. 4: Turn left onto the walkway. 5: Turn right onto Queens Boulevard/NY 25. 6: Enter the Forest Hills - 71 Av Station. 7: Take the E toward World Trade Center. (2 stops) 8: Exit the Queens Plaza Station. 9: Walk west on Queens Plaza South. 10: Continue on Queens Plaza South. 11: Turn left onto the walkway. 12: Continue. 13: Turn right onto the walkway. 14: Enter the Queensboro Plaza Station. 15: Take the N toward Astoria - Ditmars Blvd. (6 stops) 16: Exit the Astoria - Ditmars Blvd Station. 17: Walk southeast on Ditmars Boulevard. 18: Turn left onto 35th Street. 19: Your destination is on the right. ,2,1400000US36081075702,165.1479,528.09,0.0337174152715394,4898.0,108990.0,Queens,4,0.0008166598611678236
Rental Unit,Park Slope,640 Carroll Street #7B,"$2,200","40.67475658,-73.98092188",1 Bed,1 Bath,,https://streeteasy.com/building/640-carroll-street-brooklyn/7b,31.0,1: Walk northwest on Carroll Street. 2: Turn right onto 4th Avenue. 3: Enter the Union St Station. 4: Take the R toward Forest Hills - 71 Av. (8 stops) 5: Exit the City Hall Station. 6: Walk southeast on Steve Flanders Square. 7: Your destination is on the left. ,1,62.0,1: Walk northwest on Carroll Street. 2: Turn right onto 4th Avenue. 3: Enter the Union St Station. 4: Take the R toward Forest Hills - 71 Av. (1 stop) 5: Transfer to take the N toward Astoria - Ditmars Blvd. (15 stops) 6: Exit the Astoria - Ditmars Blvd Station. 7: Walk southeast on Ditmars Boulevard. 8: Turn left onto 35th Street. 9: Your destination is on the right. ,1,1400000US36047013300,8.07,8.07,0.0018118545127974856,4454.0,192813.0,Brooklyn,5,0.001122586439155815
