type,neighborhood,address,price,geo,beds,baths,sqft,url
Rental Unit,Astoria,31-43 Vernon Boulevard #508,"$2,376","40.76819992,-73.93560028",Studio,1 Bath,451,https://streeteasy.com/building/vernon-tower/508?featured=1
Rental Unit,Manhattan Valley,908 Amsterdam Avenue #5C,"$2,350","40.79960938,-73.96672043",Studio,1 Bath,NA,https://streeteasy.com/building/908-amsterdam-avenue-new_york/5c?featured=1
Rental Unit,Astoria,31-11 Crescent Street #C1,"$2,250","40.76514698,-73.92635641",1 Bed,1 Bath,450,https://streeteasy.com/building/31_11-crescent-street-astoria/c1
Rental Unit,Murray Hill (Queens),144-45 35th Avenue #1D,"$1,650","40.76645219,-73.82209298",Studio,1 Bath,550,https://streeteasy.com/building/144_45-35-avenue-flushing/1d
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Astoria,25-16 33rd Street #21,"$2,200","40.76948852,-73.91731884",1 Bed,1 Bath,700,https://streeteasy.com/building/25_16-33-street-astoria/21
Rental Unit,Kew Gardens,83-46 118th Street #5I,"$1,950","40.70572686,-73.83479218",1 Bed,1 Bath,750,https://streeteasy.com/building/83_46-118-street-kew_gardens/5i
Rental Unit,Forest Hills,112-41 72 Road #1H,"$1,750","40.72167671,-73.83672601",Studio,1 Bath,600,https://streeteasy.com/building/112_41-72-road-forest_hills/1h
Rental Unit,Lincoln Square,200 West 70th Street #5Z,"$2,300","40.77730179,-73.98310089",Studio,1 Bath,NA,https://streeteasy.com/building/212-amsterdam-avenue-new_york/5z
Rental Unit,Hell's Kitchen,442 West 54th Street #BSMT,"$2,100","40.7665506,-73.98903626",Studio,1 Bath,NA,https://streeteasy.com/building/442-west-54-street-new_york/bsmt
Rental Unit,Fort Hamilton,8829 Ft Hamilton Parkway #I2,"$1,600","40.61872884,-74.0253369",Studio,1 Bath,450,https://streeteasy.com/building/8829-ft-hamilton-parkway-brooklyn/i2
Rental Unit,Upper West Side,162 West 80th Street #2H,"$2,400","40.78340149,-73.97750092",Studio,1 Bath,NA,https://streeteasy.com/building/162-west-80-street-new_york/2h
Rental Unit,Kew Gardens,85-10 120th Street #7,"$1,800","40.70257362,-73.83134848",1 Bed,1 Bath,750,https://streeteasy.com/building/85_10-120-street-kew_gardens/7
Co-op,Forest Hills,110-55 72 Road #505,"$1,675","40.72090149,-73.83940125",Studio,1 Bath,NA,https://streeteasy.com/building/110_55-72-road-forest_hills/505
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Manhattan Valley,908 Amsterdam Avenue #5C,"$2,350","40.79960938,-73.96672043",Studio,1 Bath,NA,https://streeteasy.com/building/908-amsterdam-avenue-new_york/5c?featured=1
Rental Unit,Rego Park,64-45 Booth Street #309,"$2,100","40.72796348,-73.86066032",1 Bed,1 Bath,975,https://streeteasy.com/building/64_45-booth-street-rego_park/309
Condo,Forest Hills,111-26 66th Avenue #1C,"$1,750","40.7307235,-73.8490456",1 Bed,1 Bath,800,https://streeteasy.com/building/111_26-66-avenue-forest_hills/1c
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Condo,Forest Hills,100-10 67 Road #1L,"$1,650","40.72553035,-73.8530204",Studio,1 Bath,650,https://streeteasy.com/building/100_10-67-road-forest_hills/1l
Rental Unit,Windsor Terrace,31 Ocean Parkway #12,"$2,390","40.64978599,-73.97412156",1 Bed,1 Bath,NA,https://streeteasy.com/building/31-ocean-parkway-brooklyn/12
Rental Unit,Bath Beach,8635 21st Avenue #2E,"$1,525","40.6023781,-73.99659328",Studio,1 Bath,500,https://streeteasy.com/building/8633-21-avenue-brooklyn/2e
Rental Unit,Flushing,41-07 Bowne Street #LL,"$1,750","40.75973781,-73.82340319",1 Bed,1 Bath,NA,https://streeteasy.com/building/41_07-bowne-street-flushing/ll
Co-op,Flushing,36-20 Parsons Boulevard #4B,"$1,850","40.76395671,-73.82355084",1 Bed,1 Bath,850,https://streeteasy.com/building/36_20-parsons-boulevard-flushing/4b
Rental Unit,Prospect Park South,1915 Beverley Road #503,"$2,600","40.6447869,-73.9605697",Studio,1 Bath,NA,https://streeteasy.com/building/1915-beverley-road-brooklyn/503
Rental Unit,Kew Gardens,125-10 Queens Boulevard #1004,"$2,325","40.7118988,-73.8266983",1 Bed,1 Bath,NA,https://streeteasy.com/building/125_10-queens-boulevard-kew_gardens/1004
Rental Unit,Kew Gardens,125-10 Queens Boulevard #1503,"$1,895","40.7118988,-73.8266983",Studio,1 Bath,NA,https://streeteasy.com/building/125_10-queens-boulevard-kew_gardens/1503
