type,place,address,price,beds,baths,sqft,url,work_time,work_lines,friend_time,friend_lines,park_acres,Borough,arrests
Rental Unit,Rego Park,97-45 63 Drive #6J,2395,1 Bed,1 Bath,NA,https://streeteasy.com/building/97_45-63-drive-rego_park/6j?featured=1,57,1,47,2,1.3,Queens,3.3
Rental Unit,South Harlem,1309 Fifth Avenue #4C,2400,Studio,1 Bath,NA,https://streeteasy.com/building/the-heritage-at-1301-5th-avenue/4c?featured=1,36,1,47,2,79.2,Manhattan,6.7
Rental Unit,East Harlem,234 East 106th Street #5A,2025,1 Bed,1 Bath,NA,https://streeteasy.com/building/234-east-106-street-new_york/5a,42,1,47,2,3.4,Manhattan,4.3
Rental Unit,Flushing,36-35 167th Street #6D,1925,1 Bed,1 Bath,925,https://streeteasy.com/building/36_35-167-street-flushing/6d,79,3,71,3,0.2,Queens,1.7
Rental Unit,Briarwood,138-28 Queens Boulevard #5C,2400,1 Bed,1 Bath,590,https://streeteasy.com/building/le-tour/5c?infeed=1,71,2,60,2,1.1,Queens,5.3
Rental Unit,Lenox Hill,167 East 77th Street #17,2195,1 Bed,1 Bath,NA,https://streeteasy.com/building/167-east-77-street-new_york/17,29,1,34,2,22.3,Manhattan,0.7
Rental Unit,Bay Ridge,7025 Shore Road #1,1900,1 Bed,1 Bath,NA,https://streeteasy.com/building/7025-shore-road-brooklyn/1,54,2,88,2,27.4,Brooklyn,1.3
Rental Unit,Forest Hills,103-19 68 Road #X,1750,Studio,1 Bath,400,https://streeteasy.com/building/103_19-68-road-forest_hills/x,64,1,55,2,1.1,Queens,2.6
Rental Unit,Upper West Side,22 West 77th Street #333,1995,Studio,1 Bath,NA,https://streeteasy.com/building/22-west-77-street-new_york/333,27,2,44,2,51.4,Manhattan,1
Rental Unit,Upper West Side,155 West 83rd Street #100,2100,Studio,1 Bath,NA,https://streeteasy.com/building/the-norma/100,37,1,55,2,38.6,Manhattan,1.6
Rental Unit,Forest Hills,112-41 72 Road #2H,2150,1 Bed,1 Bath,NA,https://streeteasy.com/building/112_41-72-road-forest_hills/2h,64,2,55,2,33.7,Queens,0.8
Rental Unit,Park Slope,640 Carroll Street #7B,2200,1 Bed,1 Bath,NA,https://streeteasy.com/building/640-carroll-street-brooklyn/7b,31,1,65,1,1.8,Brooklyn,1.1
Rental Unit,Kips Bay,226 East 26th Street #BSMNT,1950,Studio,1 Bath,NA,https://streeteasy.com/building/226-east-26-street-new_york/bsmnt,24,1,51,1,1.6,Manhattan,9.8
Rental Unit,Forest Hills,70-01 113rd Street #3D,1750,Studio,1 Bath,650,https://streeteasy.com/building/70_01-113-street-forest_hills/3d,64,1,55,2,33.7,Queens,0.8
Rental Unit,Forest Hills,108-22 72nd Avenue #3F,1750,Studio,1 Bath,NA,https://streeteasy.com/building/108_22-72-avenue-forest_hills/3f,64,1,48,2,1.3,Queens,10.9
Rental Unit,Forest Hills,108-22 72nd Avenue #6H,2100,1 Bed,1 Bath,NA,https://streeteasy.com/building/108_22-72-avenue-forest_hills/6h,64,1,48,2,1.3,Queens,10.9
Rental Unit,Briarwood,138-28 Queens Boulevard #4B,2350,1 Bed,1 Bath,500,https://streeteasy.com/building/le-tour/4b?infeed=1,71,2,60,2,1.1,Queens,5.3
Rental Unit,Lenox Hill,332 East 66th Street #4D,2200,Studio,1 Bath,NA,https://streeteasy.com/building/332-east-66-street-new_york/4d,39,1,41,1,0.2,Manhattan,1.1
Rental Unit,Weeksville,1393 Lincoln Place #1A,2000,Studio,1 Bath,NA,https://streeteasy.com/building/1393-lincoln-place-brooklyn/1a,37,1,84,2,6.8,Brooklyn,5.2
Rental Unit,Stuyvesant Heights,814 Macon Street #1C,2385,Studio,1 Bath,660,https://streeteasy.com/building/814-macon-street-brooklyn/1c,38,1,79,2,2.5,Brooklyn,2.6
Rental Unit,Hell's Kitchen,306 West 51st Street #4E,2400,Studio,1 Bath,NA,https://streeteasy.com/building/306-west-51-street-new_york/4e,24,1,41,1,1.3,Manhattan,102.8
Rental Unit,Astoria,34-50 28th Street #1,1700,Studio,1 Bath,NA,https://streeteasy.com/building/34_50-28-street-astoria/1,43,1,24,1,1.7,Queens,10.6
Rental Unit,Lenox Hill,1475 Second Avenue #4H,2488,Studio,1 Bath,NA,https://streeteasy.com/building/1475-2-avenue-manhattan/4h,35,1,41,2,14.6,Manhattan,0.6
Rental Unit,Forest Hills,66-10 108th Street #4G,1975,1 Bed,1 Bath,775,https://streeteasy.com/building/66_20-108-street-forest_hills/rental/3902579,64,1,55,2,1.9,Queens,0.7
Rental Unit,Murray Hill (Queens),144-45 35th Avenue #APT4,1875,1 Bed,1 Bath,750,https://streeteasy.com/building/144_45-35-avenue-flushing/apt4,67,2,62,3,3,Queens,2.1
Rental Unit,Fort George,42 Thayer Street #6B,1900,1 Bed,1 Bath,750,https://streeteasy.com/building/42-thayer-street-new_york/6b,47,1,74,2,41.3,Manhattan,2.8
Rental Unit,Murray Hill (Queens),41-11 Parsons Boulevard #211,1625,Studio,1 Bath,NA,https://streeteasy.com/building/144_20-41-avenue-flushing/211,67,2,55,2,0.8,Queens,0.8
Rental Unit,East Flushing,140-32 Franklin Avenue #APT6G,1850,1 Bed,1 Bath,750,https://streeteasy.com/building/140_32-franklin-avenue-flushing/apt6g,67,3,55,3,0.9,Queens,1.4
Rental Unit,Forest Hills,75-33 113rd Street #APT2A,1700,Studio,1 Bath,625,https://streeteasy.com/building/75_33-113-street-forest_hills/apt2a,64,2,60,2,0.5,Queens,1.4
Rental Unit,Kips Bay,142 East 27th Street #5B,2395,Studio,1 Bath,NA,https://streeteasy.com/building/142-east-27-street-new_york/5b,20,1,51,1,2.6,Manhattan,2.7
Rental Unit,Borough Park,1540 52nd Street #2,1525,Studio,1 Bath,500,https://streeteasy.com/building/1540-52-street-brooklyn/2,54,2,82,2,0,Brooklyn,1.7
Rental Unit,Washington Heights,260 Audubon Avenue #20L,2200,Studio,1 Bath,NA,https://streeteasy.com/building/260-audubon-avenue-new_york/20l,47,1,74,2,6.3,Manhattan,4.3
Co-op,Forest Hills,67-12 Yellowston Boulevard #C1,2250,1 Bed,1 Bath,975,https://streeteasy.com/building/67_12-yellowstone-blvd-forest_hills/c1,57,1,47,2,1.1,Queens,2.6
Co-op,Kew Gardens Hills,144-46 77 Road #2A,1775,1 Bed,1 Bath,650,https://streeteasy.com/building/144_40-77-road-flushing/2a,69,2,65,3,0.6,Queens,1.9
Co-op,Forest Hills,67-12 Yellowston Boulevard #A15,1800,Studio,1 Bath,700,https://streeteasy.com/building/67_12-yellowstone-blvd-forest_hills/a15,57,1,47,2,1.1,Queens,2.6
Rental Unit,Hudson Heights,386 Ft Washington Avenue #4C,1825,Studio,1 Bath,NA,https://streeteasy.com/building/386-ft-washington-avenue-new_york/4c,41,1,62,2,21.4,Manhattan,5
Rental Unit,Bay Ridge,7022 Ridge Boulevard #B8,1900,1 Bed,1 Bath,900,https://streeteasy.com/building/7022-ridge-boulevard-brooklyn/b8,54,1,88,2,24.7,Brooklyn,0.3
Rental Unit,East Harlem,258 East 112nd Street #2C,2175,1 Bed,1 Bath,650,https://streeteasy.com/building/258-east-112-street-new_york/2c?featured=1,45,1,47,2,3.3,Manhattan,10.5
Rental Unit,South Harlem,444 Manhattan Avenue #1B,2780,Studio,1 Bath,NA,https://streeteasy.com/building/444-manhattan-avenue-new_york/1b?featured=1,45,1,62,2,13.7,Manhattan,61.8
Rental Unit,Rego Park,64-33 98th Street #2B,1650,Studio,1 Bath,NA,https://streeteasy.com/building/64_33-98-street-rego_park/2b,57,1,47,2,0.7,Queens,0.5
Rental Unit,Ditmars-Steinway,23-11 31st Street #4B,2200,1 Bed,1 Bath,NA,https://streeteasy.com/building/23_11-31-street-astoria/4b,43,1,11,0,22.6,Queens,4.1
Rental Unit,Briarwood,138-28 Queens Boulevard #2K,2250,1 Bed,1 Bath,510,https://streeteasy.com/building/le-tour/2k?infeed=1,71,2,60,2,1.1,Queens,5.3
Rental Unit,Rego Park,97-45 63 Drive #6J,2395,1 Bed,1 Bath,NA,https://streeteasy.com/building/97_45-63-drive-rego_park/6j,57,1,47,2,1.3,Queens,3.3
Rental Unit,Upper West Side,46 West 86th Street #4C,2100,Studio,1 Bath,NA,https://streeteasy.com/building/46-west-86-street-new_york/4c,27,2,44,2,38.6,Manhattan,1.6
Co-op,Forest Hills,65-08 108th Street #3A,1950,1 Bed,1 Bath,750,https://streeteasy.com/building/65_10-108-street-forest_hills/3a,64,1,55,2,40.7,Queens,3.7
Rental Unit,Fort George,1 Broadway Terrace #3D,1875,1 Bed,1 Bath,NA,https://streeteasy.com/building/1-broadway-terrace-new_york/3d,55,1,74,2,18.1,Manhattan,2.8
Rental Unit,Rego Park,96-11 65 Road #512J,1600,Studio,1 Bath,NA,https://streeteasy.com/building/96_11-65-road-rego_park/512j,57,1,47,2,0,Queens,1.9
Rental Unit,Kew Gardens,83-43 118th Street #1,1700,1 Bed,1 Bath,700,https://streeteasy.com/building/83_43-118-street-kew_gardens/1,63,1,65,3,34.4,Queens,0.6
Co-op,Bay Ridge,7200 Ridge Boulevard #222,1845,1 Bed,1 Bath,NA,https://streeteasy.com/building/190-72-street-brooklyn/222,54,1,88,2,24.7,Brooklyn,0.3
Co-op,Kensington,430 Ocean Parkway #1,1725,Studio,1 Bath,NA,https://streeteasy.com/building/430-ocean-parkway-brooklyn/1,43,2,84,2,6.6,Brooklyn,1.2
Rental Unit,Bay Ridge,235 73rd Street #4,1500,1 Bed,1 Bath,NA,https://streeteasy.com/building/235-73-street-brooklyn/4,54,1,88,2,17.6,Brooklyn,9.9
Rental Unit,Bedford-Stuyvesant,1257 Bedford Avenue #1/A,2400,1 Bed,1 Bath,NA,https://streeteasy.com/building/1257-bedford-avenue-brooklyn/1a,25,1,74,2,2.3,Brooklyn,27.7
Rental Unit,Yorkville,226 East 85th Street #4,2295,1 Bed,1 Bath,NA,https://streeteasy.com/building/226-east-85-street-new_york/4,31,1,41,2,3.7,Manhattan,3.6
Co-op,Bay Ridge,580 84th Street #66,1500,Studio,1 Bath,550,https://streeteasy.com/building/580-84-street-brooklyn/66,54,1,88,2,3.2,Brooklyn,2.3
Rental Unit,Kensington,567 Ocean Parkway #2D,2188,1 Bed,2 Baths,NA,https://streeteasy.com/building/567-ocean-parkway-brooklyn/2d,49,2,88,2,6.6,Brooklyn,2
